rowId,clientOrderId,amt,qty,type,disName,response,updateDate,updator,returnUrl,moneyType,payId,merchantOrderNo,status,moneyAccount,moneyTypeExtend,icpRequestData
1,16155117649950379,-200,1,RETURN,退款,,,,,,,,,,,
5,16159477881580539,-200,1,RETURN,退款,,,,,,,,,,,
6,16159502252080481,-200,1,RETURN,退款,,,,,,,,,,,
7,16158591015270490,-200,1,RETURN,退款,,,,,,,,,,,
8,16175006024820106,-200,1,RETURN,退款,,,,,,,,,,,
9,16191601993300724,-200,1,RETURN,退款,,,,,,,,,,,
10,16191602922000148,-200,1,RETURN,退款,,,,,,,,,,,
11,16191603477750157,-200,1,RETURN,退款,,,,,,,,,,,
12,16191603918950618,-200,1,RETURN,退款,,,,,,,,,,,
13,16187975685370007,-200,1,RETURN,退款,,,,,,,,,,,
14,16187976083470081,-200,1,RETURN,退款,"{""Status"":""MPG03009"",""Message"":""信用卡授權失敗_授權失敗"",""Result"":{""MerchantID"":""MS319831015"",""Amt"":1.0,""TradeNo"":""21060915471737747"",""MerchantOrderNo"":""F126235125_0047_BOUNDLE"",""RespondType"":""JSON"",""IP"":""1.174.1.128"",""EscrowBank"":""-"",""PaymentType"":""CREDIT"",""RespondCode"":""FC"",""Auth"":""327175"",""Card6No"":""543382"",""Card4No"":""1103"",""Exp"":""2603"",""TokenUseStatus"":""1"",""ECI"":"""",""PayTime"":""2021-06-09 15:47:18"",""PaymentMethod"":""CREDIT""},""TradeNo"":""21060915471737747"",""MerchantOrderNo"":""F126235125_0047_BOUNDLE""}",20210609074719,newepay,,,,,,,,
15,16187976478260418,-200,1,RETURN,退款,"{""Status"":""MPG03009"",""Message"":""信用卡授權失敗_授權失敗"",""Result"":{""MerchantID"":""MS319831015"",""Amt"":1.0,""TradeNo"":""21060915483398358"",""MerchantOrderNo"":""F126235125_0557_BOUNDLE"",""RespondType"":""JSON"",""IP"":""1.174.1.128"",""EscrowBank"":""-"",""PaymentType"":""CREDIT"",""RespondCode"":""FC"",""Auth"":""327181"",""Card6No"":""543382"",""Card4No"":""1103"",""Exp"":""2603"",""TokenUseStatus"":""1"",""ECI"":"""",""PayTime"":""2021-06-09 15:48:33"",""PaymentMethod"":""CREDIT""},""TradeNo"":""21060915483398358"",""MerchantOrderNo"":""F126235125_0557_BOUNDLE""}",20210609074835,newepay,,,,,,,,
16,16187976865520865,-200,1,RETURN,退款,,,,,,,,,,,
17,16170750877290558,-200,1,RETURN,退款,"{""Status"":""MPG03009"",""Message"":""拒絕交易_拒絕卡號"",""Result"":{""MerchantID"":""MS319831015"",""Amt"":1.0,""MerchantOrderNo"":""F126235125_3293_BOUNDLE"",""RespondType"":""JSON"",""EscrowBank"":""-"",""PaymentType"":""CREDIT"",""TokenUseStatus"":""1"",""PayTime"":""2021-06-09 16:01:40""},""MerchantOrderNo"":""F126235125_3293_BOUNDLE""}",20210609080141,newepay,,,,,,,,
18,16181378782440517,-200,1,RETURN,退款,,,,,,,,,,,
19,16184664124390665,-200,1,RETURN,退款,,,,,,,,,,,
20,16184665003470278,-200,1,RETURN,退款,,,,,,,,,,,
21,16209754850560571,-200,1,RETURN,退款,,,,,,,,,,,
22,16209755149060110,-200,1,RETURN,退款,,,,,,,,,,,
23,16168056957540128,-200,1,RETURN,退款,"{""Status"":""MPG03009"",""Message"":""信用卡授權失敗_授權失敗"",""Result"":{""MerchantID"":""MS319831015"",""Amt"":1.0,""TradeNo"":""21061010430296850"",""MerchantOrderNo"":""F230075531_1744_BOUNDLE"",""RespondType"":""JSON"",""IP"":""49.216.72.187"",""EscrowBank"":""-"",""PaymentType"":""CREDIT"",""RespondCode"":""FC"",""Auth"":""330643"",""Card6No"":""414763"",""Card4No"":""7804"",""Exp"":""2802"",""TokenUseStatus"":""1"",""ECI"":"""",""PayTime"":""2021-06-10 10:43:02"",""PaymentMethod"":""CREDIT""},""TradeNo"":""21061010430296850"",""MerchantOrderNo"":""F230075531_1744_BOUNDLE""}",20210610024305,newepay,,,,,,,,
24,16200350370300635,-200,1,RETURN,退款,"{""Status"":""MPG03009"",""Message"":""信用卡授權失敗_授權失敗"",""Result"":{""MerchantID"":""MS319831015"",""Amt"":1.0,""TradeNo"":""21061010443495026"",""MerchantOrderNo"":""F230075531_7461_BOUNDLE"",""RespondType"":""JSON"",""IP"":""49.216.72.187"",""EscrowBank"":""-"",""PaymentType"":""CREDIT"",""RespondCode"":""FC"",""Auth"":""330649"",""Card6No"":""356558"",""Card4No"":""4008"",""Exp"":""2802"",""TokenUseStatus"":""1"",""ECI"":"""",""PayTime"":""2021-06-10 10:44:34"",""PaymentMethod"":""CREDIT""},""TradeNo"":""21061010443495026"",""MerchantOrderNo"":""F230075531_7461_BOUNDLE""}",20210610024436,newepay,,,,,,,,
27,A181507325,1,1,BOUNDLE,綁定,"{""Status"":""MPG03009"",""Message"":""拒絕交易_拒絕卡號"",""Result"":{""MerchantID"":""MS319831015"",""Amt"":1.0,""MerchantOrderNo"":""A121142433_3065_BOUNDLE"",""RespondType"":""JSON"",""EscrowBank"":""-"",""PaymentType"":""CREDIT"",""TokenUseStatus"":""1"",""PayTime"":""2021-06-15 10:23:06""},""MerchantOrderNo"":""A121142433_3065_BOUNDLE""}",20210615022308,newepay,http://test.mofuntravel.com.tw,CREDIT,A181507325_BOUNDLE,,,,,
