clientOrderHistoryId,clientOrderId,updateDate,flow,updator,note
151,16136899822610259,20210219071302,0,admin,後台成立訂單:備註
152,16136899822610259,20210219071317,10,admin,"admin確定訂單,備註：;test"
153,16136899822610259,20210219071329,50,admin,admin確認不收訂金，備註:123
154,16136899822610259,20210219072052,100,admin,取車
155,16136899822610259,20210219084657,500,admin,"admin收現金,完成訂單"
156,16137952140620577,20210220122654,0,admin,後台成立訂單:備註需兩頂安全帽 謝謝！
157,16137952140620577,20210220122819,10,admin,"admin確定訂單,備註：需兩頂安全帽 謝謝！"
158,16137952140620577,20210220123205,50,admin,admin確認不收訂金，備註:需兩頂安全帽 謝謝！
159,16137962139280809,20210220124333,0,admin,後台成立訂單:備註KKday訂單
160,16137952140620577,20210220125736,100,admin,取車
161,16137962139280809,20210220130205,50,admin,admin確認不收訂金，備註:KKday訂單
162,16138004875540433,20210220135444,0,admin,後台成立訂單:備註123
163,16138004875540433,20210220135517,50,admin,admin確認不收訂金，備註:123
164,16138005883130435,20210220135624,0,admin,後台成立訂單:備註
165,16138005883130435,20210220135648,10,admin,"admin確定訂單,備註："
166,16138005883130435,20210220135656,50,admin,admin確認不收訂金，備註:
167,16139835748120995,20210222164614,0,admin,後台成立訂單:備註有考慮長租EC-05
168,16139835748120995,20210222164741,50,admin,admin確認不收訂金，備註:香港人 自帶安全帽
169,16139835748120995,20210222165018,100,admin,取車
170,16139835748120995,20210222165316,500,admin,"admin收現金,完成訂單"
171,16143300250080993,20210226170024,0,Zoe,後台成立訂單:備註
172,16143301570710021,20210226170237,0,Zoe,後台成立訂單:備註
173,16143302832880533,20210226170443,0,Zoe,後台成立訂單:備註
174,16143303747530494,20210226170614,0,Zoe,後台成立訂單:備註
175,16143305278220099,20210226170847,0,Zoe,後台成立訂單:備註
176,16143309889150348,20210226171628,0,Zoe,後台成立訂單:備註
177,16143311315570120,20210226171851,0,Zoe,後台成立訂單:備註
178,16143312533660035,20210226172053,0,Zoe,後台成立訂單:備註
179,16143313544180601,20210226172234,0,Zoe,後台成立訂單:備註
180,16143300250080993,20210226172445,10,Zoe,"Zoe確定訂單,備註：已收訂金200元"
181,16143300250080993,20210226172455,50,Zoe,Zoe確認不收訂金，備註:已收訂金200元
182,16143301570710021,20210226172532,10,Zoe,"Zoe確定訂單,備註："
183,16143301570710021,20210226172623,50,Zoe,Zoe確認不收訂金，備註:已收訂金200元
184,16143302832880533,20210226172629,10,Zoe,"Zoe確定訂單,備註："
185,16143302832880533,20210226172643,50,Zoe,Zoe確認不收訂金，備註:已收訂金200元
186,16143303747530494,20210226172838,10,Zoe,"Zoe確定訂單,備註："
187,16143303747530494,20210226172914,50,Zoe,Zoe確認不收訂金，備註:已收訂金200元
188,16143305278220099,20210226172925,10,Zoe,"Zoe確定訂單,備註："
189,16143305278220099,20210226173034,50,Zoe,Zoe確認不收訂金，備註:尚未收取訂金
190,16143309889150348,20210226173255,50,Zoe,Zoe確認不收訂金，備註:
191,16143311315570120,20210226173259,50,Zoe,Zoe確認不收訂金，備註:
192,16143312533660035,20210226173301,50,Zoe,Zoe確認不收訂金，備註:
193,16143313544180601,20210226173302,50,Zoe,Zoe確認不收訂金，備註:
194,16143309889150348,20210226173647,100,Zoe,取車
195,16143311315570120,20210226173940,100,Zoe,取車
196,16143312533660035,20210226174215,100,Zoe,取車
197,16143313544180601,20210226174340,100,Zoe,取車
198,16143305278220099,20210226180326,100,哲哲,取車
199,16143305278220099,20210226180653,400,哲哲,"哲哲協助還車,等待信用卡扣款"
200,16143342325070939,20210226181032,0,哲哲,後台成立訂單:備註
201,16143342325070939,20210226181112,50,哲哲,哲哲確認不收訂金，備註:
202,16143342325070939,20210226181450,100,哲哲,取車
203,16143342325070939,20210226181639,500,哲哲,"哲哲收現金,完成訂單"
204,16143359330910042,20210226183853,0,admin,後台成立訂單:備註
205,16143359330910042,20210227090913,50,哲哲,哲哲確認不收訂金，備註:不收訂金待取車
